"","gene1","gene2"
"19633","STX5","BET1"
"19634","STX5","VTI1B"
"19635","USO1","GOSR1"
"19636","USO1","STX5"
"19637","STX5","GOSR1"
"19649","RANBP3","XPO1"
"19651","XPO1","NUP62"
"19653","MLXIP","MLX"
"19657","PRLR","TEC"
"19658","TEC","PRLR"
"19659","TEC","VAV1"
"19660","PRLR","VAV1"
"19661","PRLR","TEC"
"19670","TNFRSF1A","CASP10"
"19672","TRNAN1","NUP153"
"19673","ACVR2B","ACVR1B"
"19674","KPNB1","NUP153"
"19676","NUP153","TRNAN1"
"19677","NUP153","XPO1"
"19678","NUP153","KPNB1"
"19687","PRKDC","RPA1"
"19691","CAV1","NOS2"
"19692","CAV1","NOS2"
"19693","GAR1","SMN1"
"19694","FBL","SMN1"
"19695","SMN1","FBL"
"19696","SMN1","GAR1"
"19697","FBL","SMN1"
"19698","FBL","GEMIN2"
"19699","FBL","DDX20"
"19700","FBL","GEMIN4"
"19701","GAR1","SMN1"
"19702","GAR1","GEMIN2"
"19703","GAR1","DDX20"
"19704","GAR1","GEMIN4"
"19705","FBL","SMN1"
"19706","GAR1","SMN1"
"19707","ARL6","SEC61B"
"19708","PTK2B","PTK2B"
"19709","PTK2B","JAK3"
"19710","HMGA2","PIAS3"
"19711","PIAS3","HMGA2"
"19716","GNAZ","RGS20"
"19717","LYN","PTPN6"
"19722","SLC9A3R1","Trpc4"
"19723","SLC9A3R1","Trpc4"
"19727","DAZL","DAZ1"
"19728","DAZL","DAZL"
"19729","DAZL","DAZL"
"19740","GRIN2B","DLG4"
"19741","GRIN2B","DLG2"
"19742","GRIN2B","DLG1"
"19744","KCNA4","DLG4"
"19745","KCNA4","DLG2"
"19746","KCNA4","DLG1"
"19747","ZHX1","ZHX1"
"19748","ZHX1","Zhx1"
"19749","ERBB3","PA2G4"
"19753","TNIK","TRAF2"
"19759","GC","LRP2"
"19762","TP53","HSP90AA1"
"19763","XRCC1","LIG3"
"19764","KCNN2","KCNN2"
"19765","KCNN2","CALM1"
"19766","CALCRL","RAMP1"
"19767","CALCRL","RAMP1"
"19768","EGF","EGFR"
"19769","EGF","ERBB2"
"19770","EGF","ERBB3"
"19771","MRE11A","RAD50"
"19772","RAD50","MRE11A"
"19773","MATK","NTRK1"
"19774","NTRK1","MATK"
"19787","BTG2","Pick1"
"19788","Pick1","BTG2"
"19789","Pick1","BTG2"
"19790","DYT10","BTG2"
"19791","DYT10","Pick1"
"19792","NOG","NOG"
"19793","BMP7","BMP7"
"19794","NOG","BMP7"
"19795","NOG","BMP7"
"19796","POLR2A","POLR2H"
"19797","POLR2A","POLR2L"
"19799","POLR2A","POLR2E"
"19800","POLR2A","POLR2G"
"19802","POLR2B","POLR2E"
"19803","POLR2B","POLR2L"
"19813","POLR2A","POLR2F"
"19814","POLR2B","POLR2H"
"19815","POLR2E","POLR2A"
"19816","POLR2E","POLR2B"
"19818","POLR2E","POLR2E"
"19819","POLR2E","POLR2G"
"19820","POLR2E","POLR2H"
"19821","POLR2E","POLR2L"
"19822","POLR2F","POLR2E"
"19825","POLR2G","POLR2E"
"19826","POLR2G","POLR2F"
"19827","POLR2G","POLR2G"
"19828","POLR2G","POLR2H"
"19829","POLR2H","POLR2A"
"19830","POLR2H","POLR2B"
"19832","POLR2H","POLR2E"
"19833","POLR2H","POLR2G"
"19834","POLR2H","POLR2H"
"19835","POLR2K","POLR2A"
"19836","POLR2K","POLR2B"
"19838","POLR2K","POLR2E"
"19839","POLR2K","POLR2F"
"19840","POLR2K","POLR2G"
"19841","POLR2K","POLR2H"
"19842","POLR2K","POLR2K"
"19843","POLR2L","POLR2A"
"19844","POLR2L","POLR2B"
"19846","POLR2L","POLR2E"
"19847","POLR2L","POLR2G"
"19848","POLR2L","POLR2H"
"19850","POLR2K","POLR2J"
"19854","GRB10","INSR"
"19855","PAFAH1B1","NDEL1"
"19856","NDEL1","PAFAH1B1"
"19857","NDEL1","PAFAH1B1"
"19858","NDEL1","DYNC1H1"
"19859","CDK5","NDEL1"
"19860","NDEL1","CDK5"
"19861","NFKB1","MEN1"
"19862","NFKB1","MEN1"
"19863","RELA","MEN1"
"19864","NFKB2","MEN1"
"19865","RELA","MEN1"
"19866","NCK1","SOS1"
"19867","NCK1","DNM1"
"19868","NCK1","DNM1"
"19869","SFPQ","PTBP1"
"19873","EGFR","INPPL1"
"19875","NPY","NPY1R"
"19876","FGF1","HSPA9"
"19877","FGF1","HSPA9"
"19878","FGF1","HSPA9"
"19879","FGF1","HSPA9"
"19880","PVRL2","PVRL2"
"19885","CCNE1","CDK1"
"19886","CCNE1","CDK2"
"19887","CCNE1","CDK1"
"19888","CCNE1","CDK2"
"19889","CD74","CD74"
"19890","ITGB3BP","THRA"
"19891","ITGB3BP","THRA"
"19892","ITGB3BP","RXRG"
"19893","THRA","ITGB3BP"
"19894","RXRG","ITGB3BP"
"19895","ITGB3BP","ITGB3BP"
"19896","MEN1","JUND"
"19897","MEN1","JUND"
"19898","JUND","MEN1"
"19899","TUBA1A","PAFAH1B1"
"19900","PAFAH1B1","TUBA1A"
"19901","RELA","PPP2CA"
"19902","RELA","PPP2CB"
"19903","SH3BP5","MAPK8"
"19904","MAPK8","SH3BP5"
"19905","MAPK8","SH3BP5"
"19906","SH3BP5","MAPK9"
"19907","SH3BP5","MAPK10"
"19908","SH3BP5","MAPK8"
"19911","GSTP1","GSTP1"
"19913","ID3","TCF4"
"19914","ID3","TCF4"
"19916","TRAF2","SIAH2"
"19918","SMURF2","SMAD7"
"19920","SMURF2","TGFBR2"
"19922","SMAD7","TGFBR2"
"19923","FOXO4","XPO1"
"19924","LRP1","A2M"
"19925","EZR","NF2"
"19926","NF2","EZR"
"19927","BAD","YWHAE"
"19929","BAD","YWHAQ"
"19931","BAD","S100A10"
"19932","BAD","S100A10"
"19936","AXL","TENC1"
"19937","AXL","TENC1"
"19938","EGR1","NAB2"
"19939","PLD1","SNCA"
"19940","SNCA","PLD1"
"19941","AXIN2","APC2"
"19946","DUSP3","EGFR"
"19948","SSX2IP","ACTN1"
"19951","ACTN1","SSX2IP"
"19952","TRPV1","TRPV1"
"19955","SKP1","FBXL4"
"19956","SKP1","FBXL5"
"19958","TAF15","TAF7"
"19959","TAF15","TAF5"
"19960","TAF15","TAF13"
"19963","TAF15","POLR2G"
"19964","TAF15","POLR2E"
"19966","TAF15","TAF7"
"19967","TAF15","TAF5"
"19968","TAF15","TAF13"
"19971","TAF15","POLR2G"
"19972","TAF15","POLR2E"
"19973","PML","EIF4E"
"19974","BGN","HLN2"
"19975","BGN","JPH3"
"19976","CTNND1","CDH3"
"19979","HTT","SH3GL3"
"19980","HTT","SH3GL3"
"19981","HTT","SH3GL3"
"19984","POU2F1","NCOR2"
"19985","POU2F1","NCOR2"
"19987","CXCR4","JAK3"
"19988","CXCR4","JAK2"
"19989","CXCR4","PTPN6"
"19990","IRAK1","PRKCZ"
"19991","ZNF423","SMAD4"
"19992","ZNF423","SMAD1"
"19994","RGS6","STMN2"
"19995","STMN2","RGS6"
"19996","ARRB1","DVL2"
"19997","ARRB1","DVL2"
"19999","AKAP12","PRKCA"
"20000","AKAP12","PRKAR2A"
"20003","SKP2","CDKN1B"
"20005","RUNX1","CBFB"
"20006","CD36","HSD11B1"
"20007","CD36","LDLR"
"20011","COL4A1","NID1"
"20012","COL4A1","Nid1"
"20013","COL1A1","NID1"
"20014","COL1A1","Nid1"
"20016","COL4A1","NID2"
"20017","COL1A1","NID2"
"20018","CALM1","GRK4"
"20019","CALM1","GRK5"
"20020","LCT","CANX"
"20021","LCT","HSPA5"
"20022","Jak2","DNAJA3"
"20023","DNAJA3","JAK2"
"20024","JAK2","DNAJA3"
"20025","DNAJA3","IFNGR2"
"20026","DNAJA3","HSPA8"
"20027","HSPA8","DNAJA3"
"20028","JAK2","HSPA8"
"20029","LYN","CDK1"
"20030","CDK1","LYN"
"20031","LYN","CDK1"
"20033","IRS1","GRB2"
"20034","GRB2","IRS1"
"20035","GRB2","IRS1"
"20040","AHR","NCOA2"
"20045","ARNT","NCOA2"
"20046","BMX","CAV1"
"20048","ARNT","NCOA2"
"20050","CDK10","ETS2"
"20051","ETS2","CDK10"
"20053","CDK10","ETS2"
"20056","EZR","EZR"
"20057","EGFR","AREG"
"20058","EGFR","EGF"
"20059","GRB2","EGFR"
"20061","PIK3R1","PIK3CA"
"20062","KCNQ1","AKAP9"
"20063","KCNQ1","PRKAR2A"
"20064","KCNQ1","PPP1CA"
"20065","KCNQ1","PRKACA"
"20066","KCNQ1","AKAP9"
"20067","KCNQ1","PRKACA"
"20068","KCNQ1","PPP1CA"
"20069","PEX10","PEX12"
"20070","PEX14","PEX5"
"20071","SMAD3","ATF2"
"20072","SMAD4","ATF2"
"20073","ATF2","SMAD3"
"20074","ATF2","SMAD4"
"20075","PEX12","PEX10"
"20076","PEX10","PEX10"
"20077","PEX2","PEX10"
"20078","PEX12","PEX5"
"20079","PEX10","PEX5"
"20080","PAFAH1B1","PAFAH1B1"
"20081","PEX14","PEX5"
"20082","PAFAH1B1","DCTN2"
"20083","PAFAH1B1","DYNC1H1"
"20084","DYNC1H1","PAFAH1B1"
"20085","DCTN1","PAFAH1B1"
"20086","PAFAH1B1","DYNC1H1"
"20087","PEX10","PEX12"
"20090","VAV1","JUN"
"20091","PLIN3","RAB9A"
"20092","IKBKG","COPS3"
"20094","POU2F1","RXRA"
"20095","POU2F1","RARA"
"20096","POU2F1","THRA"
"20098","POU2F1","PGR"
"20099","POU2F1","NR3C1"
"20101","POU2F2","NR3C1"
"20103","POU2F2","PGR"
"20104","EIF2S1","EIF2B1"
"20113","MAP2K1","MAPK3"
"20114","MAP2K2","MAPK3"
"20115","MEP1B","PYY"
"20116","MEP1B","GAST"
"20117","MAP2K4","FLNC"
"20118","MEP1A","NPY"
"20119","MEP1A","NTS"
"20120","MEP1A","GNRH1"
"20121","MEP1A","BDKRB1"
"20122","MEP1A","PTH"
"20124","FLNC","MAP2K4"
"20125","XRCC1","LIG3"
"20132","YY1","SP1"
"20133","YY1","SREBF1"
"20134","SREBF1","SP1"
"20135","BNIP2","BNIP2"
"20136","BNIP2","BNIP2"
"20138","BNIP2","BNIP2"
"20139","ARHGAP1","ARHGAP1"
"20140","BNIP2","ARHGAP1"
"20141","ARHGAP1","BNIP2"
"20142","BNIP2","ARHGAP1"
"20143","CEACAM5","Hnrnpm"
"20144","Hnrnpm","CEACAM5"
"20145","M6PR","GGA3"
"20147","M6PR","GGA2"
"20149","RANBP2","KPNB1"
"20150","RANBP1","KPNB1"
"20151","RANBP2","KPNA1"
"20153","SLC9A3R2","ACTN4"
"20154","SLC9A3R2","ACTN4"
"20158","LRAT","LRAT"
"20167","TERT","XRCC5"
"20169","TERT","XRCC5"
"20171","SMAD1","FOXG1"
"20174","CALR","PLAT"
"20176","SMAD1","PSMB4"
"20177","SMAD1","PSMB4"
"20179","CACNB4","CACNA1A"
"20187","EPHB1","ACP1"
"20188","EPHB1","ACP1"
"20189","EPHB2","ACP1"
"20193","MPP6","LIN7A"
"20194","PSEN1","ICAM5"
"20195","PSEN1","ICAM5"
"20196","PSEN1","ICAM5"
"20197","PSEN2","ICAM5"
"20198","DDIT3","PICALM"
"20200","PML","RELA"
"20203","CFLAR","CASP8"
"20204","CFLAR","CASP3"
"20205","TRAF1","CFLAR"
"20206","TRAF2","CFLAR"
"20208","ACVR2A","GDF5"
"20209","ACVR2B","GDF5"
"20210","ACVR1","GDF5"
"20211","RHOD","PLXNA1"
"20212","PIK3R1","RRAS2"
"20213","SP1","HTT"
"20214","SP1","HTT"
"20217","CFLAR","CASP8"
"20218","CFLAR","CASP10"
"20219","NCOA1","RARB"
"20222","GNAO1","CACNA1B"
"20223","IL10RA","JAK1"
"20224","MAP2K1","MAPK1"
"20225","MAP2K2","MAPK1"
"20227","AMBP","AMBP"
"20228","AMBP","AMBP"
"20234","RHOA","ARHGEF12"
"20238","PTK2B","JAK1"
"20239","PTK2B","IL7R"
"20240","SYNJ1","AMPH"
"20241","SYNJ1","SH3GL2"
"20242","SH3GL2","DNM1"
"20243","SH3GL2","SYNJ1"
"20244","DNM1","AMPH"
"20245","DNM1","SH3GL2"
"20246","AMPH","DNM1"
"20247","AMPH","SH3GL2"
"20248","SH3GL2","SYNJ1"
"20249","AMPH","DNM1"
"20250","AMPH","SYNJ1"
"20253","CALR","PDIA3"
"20254","CALR","CANX"
"20255","PDIA3","CALR"
"20256","CALR","PDIA3"
"20257","PDIA3","CALR"
"20259","CD151","CD46"
"20261","CD46","CD151"
"20262","CD81","CD46"
"20263","CD82","CD46"
"20266","ITGA2","CD46"
"20272","EFNA2","ADAM10"
"20275","BCL2L2","BAD"
"20276","BCL2L2","PPP1CA"
"20278","BCL2L2","PPP1CA"
"20279","NPHS2","Nphs1"
"20280","NPHS2","Nphs2"
"20281","RRM1","RRM1"
"20282","RRM1","RRM2"
"20287","BAX","BCL2"
"20288","BRD4","RFC1"
"20289","RFC1","BRD4"
"20290","BRD4","RFC2"
"20291","BRD4","RFC3"
"20292","BRD4","RFC4"
"20293","BRD4","RFC5"
"20294","RFC1","PCNA"
"20295","BRD4","RFC2"
"20296","BRD4","RFC3"
"20297","BRD4","RFC4"
"20298","BRD4","RFC5"
"20299","BRD4","RFC1"
"20300","CBL","PIK3R2"
"20301","CBL","CRKL"
"20302","LIMK1","PAK4"
"20303","PAK4","LIMK1"
"20304","CCNE1","HERC5"
"20305","HERC5","CCNA2"
"20306","HERC5","CCNE1"
"20307","HERC5","CCNB1"
"20308","HERC5","CCND1"
"20309","HERC5","CDKN1A"
"20313","PDGFRB","PTPN11"
"20317","DGKA","IL2"
"20326","GIT1","PTK2"
"20327","GIT1","GIT1"
"20328","GIT1","GIT2"
"20329","GIT1","GIT1"
"20330","GIT1","GIT2"
"20331","GIT2","GIT1"
"20332","GIT2","GIT2"
"20333","GIT1","GIT1"
"20334","PLK1","CDC25C"
"20335","ARRB1","ARF6"
"20336","ARRB2","ARF6"
"20337","ARRB1","ARF6"
"20338","CYTH2","ARRB1"
"20339","CYTH2","ARRB2"
"20340","CYTH2","ARRB1"
"20341","CYTH2","ARRB2"
"20343","FGF1","FGFR1"
"20344","FGFR1","FGFR1"
"20348","CREB1","FHL5"
"20349","CREB1","FHL2"
"20350","CREB1","FHL3"
"20351","FHL3","FHL3"
"20352","FHL5","FHL3"
"20353","FHL5","STX11"
"20354","FHL2","FHL3"
"20355","FHL2","FHL2"
"20356","STX11","STX11"
"20357","FHL2","CREB1"
"20358","FHL3","CREB1"
"20359","FHL5","CREB1"
"20360","ATF2","JUN"
"20362","PRSS1","SERPINB8"
"20364","PCNT","CALM1"
"20370","GRB2","BCR"
"20371","GRB2","BCR"
"20373","SOS1","BCR"
"20376","GRB2","SOS1"
"20377","MAD2L1","ADAM17"
"20382","ADAM17","MAD2L1"
"20386","MAD2L1","ADAM17"
"20388","TP53","WWOX"
"20389","CHRNA1","CHRNG"
"20390","CHRNA1","CHRND"
"20391","PDGFRA","PDGFRB"
"20392","PDGFRA","PDGFRA"
"20393","PDGFRB","PDGFRB"
"20394","PTPRF","PPFIA1"
"20395","MAPK8","JUN"
"20403","HRAS","TIAM1"
"20404","RUNX1","AES"
"20405","MAP3K1","MAPK8"
"20406","MAP3K1","MAPK8"
"20407","MAPK8","MAP3K1"
"20408","MAPK8","MAP3K1"
"20412","DEK","SRSF2"
"20413","PYCARD","MEFV"
"20414","MEFV","PYCARD"
"20415","SRRM1","DEK"
"20432","MAP3K10","KIF3A"
"20435","MAP3K11","KIF3A"
"20437","MAP3K11","KIF3B"
"20438","MAP3K10","KRTAP3-4P"
"20439","MAP3K10","YWHAE"
"20440","MAP3K10","HPCA"
"20441","KIF3A","MAP3K10"
"20442","YWHAQ","CBL"
"20445","COL1A1","SPARC"
"20446","COL3A1","SPARC"
"20448","ITGB2","ICAM1"
"20449","IKZF4","IKZF5"
"20450","IKZF5","IKZF4"
"20451","IKZF1","IKZF4"
"20452","IKZF1","IKZF5"
"20453","IKZF3","IKZF4"
"20454","IKZF3","IKZF5"
"20455","PPP5C","GNA12"
"20456","PPP5C","GNA13"
"20457","GNA12","PPP5C"
"20458","IKZF5","IKZF5"
"20459","IKZF5","IKZF4"
"20460","IKZF5","IKZF1"
"20461","IKZF5","IKZF3"
"20463","GRB2","TNFRSF1A"
"20464","IL5RA","UNC119"
"20465","IL5RA","UNC119"
"20466","UNC119","LYN"
"20468","MMP7","FASLG"
"20469","LYN","UNC119"
"20470","BUB1B","CDC20"
"20471","BUB1B","CDC20"
"20472","CDC20","BUB1B"
"20473","TNFSF8","TNFRSF8"
"20483","CDC42EP2","7-Sep"
"20485","CDC42EP3","7-Sep"
"20492","TRAF2","TRADD"
"20493","TRAF2","RIPK1"
"20494","TRAF2","TRAF1"
"20495","TRAF2","TNFRSF1B"
"20496","TRAF2","TRAF2"
"20497","JAK1","TEC"
"20498","JAK2","TEC"
"20500","TEC","PIK3R2"
"20503","PSEN1","PKP4"
"20504","PSEN1","PKP4"
"20505","PSEN1","PKP4"
"20506","BCL2","RRAS"
"20507","BCL2","RRAS"
"20508","ORC5","ORC4"
"20509","ORC5","ORC2"
"20510","GSK3B","NFKB1"
"20511","CAV1","GRK5"
"20512","CAV1","GRK1"
"20513","CAV1","ADRBK1"
"20514","PAK1","ERBB2"
"20515","SMAD3","SKIL"
"20516","SKIL","SMAD2"
"20517","SKIL","SMAD3"
"20518","SMAD3","CDC27"
"20520","SMAD2","CDC27"
"20522","SKIL","FZR1"
"20523","DGKZ","SNTA1"
"20524","DGKZ","SNTB1"
"20525","DGKZ","SNTB2"
"20528","CAND2","CNOT3"
"20529","CNOT3","CAND2"
"20530","RXRA","MYOD1"
"20531","MYOD1","RXRA"
"20532","MEIS1","HOXA9"
"20534","STAT5A","ESR2"
"20535","PTK2","EGFR"
"20536","GRB2","PTK2"
"20537","BMPR2","BMP4"
"20538","CD22","PTPN6"
"20539","CD22","GRB2"
"20541","APOD","APOD"
"20542","APOD","APOA2"
"20543","APOF","APOA2"
"20544","APOF","APOA1"
"20556","GTF2F1","GTF2A1"
"20557","GTF2E1","GTF2A1"
"20558","GTF2E2","GTF2A1"
"20559","TNFRSF12A","TRAF1"
"20560","TNFRSF12A","TRAF2"
"20564","GRB2","PTPN11"
"20565","FLT4","VEGFC"
"20566","RELA","NOTCH1"
"20567","NFKB1","NOTCH1"
"20568","NOTCH1","NFKB1"
"20569","S100B","IQGAP1"
"20570","IQGAP1","S100B"
"20571","TRPC3","TRPC3"
"20572","TRPC3","TRPC6"
"20574","TRPC6","TRPC6"
"20577","TRPC2","TRPC2"
"20578","TRPC1","TRPC1"
"20580","TRPC2","TRPC2"
"20581","TRPC3","TRPC6"
"20582","TRPC3","TRPC7"
"20585","TRPC3","TRPC3"
"20587","TRPC6","TRPC6"
"20588","TRPC6","TRPC7"
"20589","TRPC7","TRPC7"
"20596","DLG4","HGS"
"20597","DLG4","HGS"
"20602","SLA","ZAP70"
"20604","SLA","SYK"
"20605","SLA","LAT"
"20606","CBL","SLA"
"20607","PTPN1","GSK3B"
"20608","Psmc3ip","NR3C1"
"20609","Psmc3ip","NR3C1"
"20613","PSMC3IP","NR3C1"
"20614","GGH","GGH"
"20615","HRAS","BRAF"
"20616","PPIA","PPP3R1"
"20617","PPIA","PPP3CA"
"20619","TNKS","TNKS1BP1"
"20620","TNKS2","TNKS1BP1"
"20621","TNKS","TERF1"
"20622","TNKS1BP1","TNKS"
"20623","TERF1","TNKS"
"20624","TNKS1BP1","TNKS"
"20627","USH1C","MYO7A"
"20628","CCL3","CCR5"
"20631","EIF5A","XPO1"
"20634","ARFGEF2","PRKAR1A"
"20635","ARFGEF2","PRKAR2A"
"20637","MYC","TIAM1"
"20638","MYC","TIAM1"
"20639","RANBP2","KPNB1"
"20641","CYTH2","ARF6"
"20642","CYTH2","ARF1"
"20643","ABCD3","ABCD1"
"20644","ABCD1","ABCD2"
"20645","PTK2","JAK2"
"20647","TNFAIP6","ACAN"
"20653","CBL","CRKL"
"20654","TAF1","TAF7"
"20655","TAF7","TAF1"
"20657","CALM1","PPEF2"
"20659","PPEF2","CALM1"
"20664","GP1BA","F12"
"20665","TRAF2","TRAF2"
"20666","TRAF2","CD40"
"20667","OPRD1","OPRD1"
"20668","ADRB2","OPRD1"
"20669","ADRB2","ADRB2"
"20670","OPRD1","OPRD1"
"20671","ADRB2","OPRD1"
"20672","KIF5B","SNAP23"
"20673","KIF5B","SNAP25"
"20674","SNAP25","KIF5B"
"20675","SNAP23","KIF5B"
"20676","KIF5B","KLC1"
"20677","DYNLL1","DYNLL1"
"20678","DYNLL1","DYNC1I1"
"20679","DYNC1I1","DYNLL1"
"20681","DYNC1I1","DYNLT3"
"20690","DDIT3","JUND"
"20691","DDIT3","FOS"
"20692","DDIT3","JUN"
"20693","DDIT3","JUND"
"20694","DDIT3","FOS"
"20695","DDIT3","JUN"
"20696","DDIT3","JUND"
"20698","GALNT12","MUC5AC"
"20699","TIMM8A","TIMM13"
"20701","FLNB","ITGB3"
"20702","FLNB","ITGB6"
"20707","CD40","TRAF3"
"20709","CD40","TRAF6"
"20710","CD40","TRAF2"
"20711","IGF1R","ARHGEF12"
"20712","IGF1R","ARHGEF12"
"20713","IGF1R","ARHGEF12"
"20714","SRCIN1","SNAP25"
"20715","SRCIN1","SNAP25"
"20716","CHUK","NFKBIA"
"20717","GRB2","CD28"
"20719","SHANK1","SSTR2"
"20720","SSTR2","SHANK1"
"20721","TP53AIP1","BCL2"
"20722","TNK2","GRB2"
"20724","AMPH","VTN"
"20725","RXRG","SRF"
"20726","RARG","SRF"
"20729","SLC9A2","RASA1"
"20730","SLC9A2","SPTA1"
"20732","IGFBP7","IGF1"
"20734","STK4","STK4"
"20735","STK4","STK4"
"20736","STK4","STK4"
"20737","PTPN6","LCP2"
"20738","ABI3","PAK1"
"20739","ABI3","PAK2"
"20740","PER1","CSNK1D"
"20744","XRCC5","PRKDC"
"20748","KCNJ3","KCNJ5"
"20749","NRIP1","RARA"
"20750","NRIP1","RXRA"
"20751","LYN","GAB2"
"20753","ITGB3","ITGB3BP"
"20754","KIT","GRB2"
"20755","KIT","PIK3R1"
"20756","KIT","PIK3R2"
"20757","KIT","SOCS1"
"20758","SOCS1","KIT"
"20760","SOCS1","VAV1"
"20761","SOCS1","VAV2"
"20762","ATP2B4","DLG1"
"20764","GRB2","SOCS1"
"20765","CRK","SOCS1"
"20767","NCK1","SOCS1"
"20769","ITK","SOCS1"
"20770","GATA4","ZFPM2"
"20771","GATA4","ZFPM2"
"20772","GATA4","ZFPM2"
"20775","MAF","USF2"
"20778","DSG3","JUP"
"20785","LATS1","CDK1"
"20786","LATS1","CDK1"
"20789","EPOR","SOCS2"
"20790","EPOR","SOCS2"
"20795","GNB2","GNG10"
"20798","S100A11","S100A11"
"20799","TOB1","SMAD4"
"20800","TOB1","SMAD5"
"20801","TOB1","SMAD1"
"20803","SRP54","SRP54"
"20805","EGFR","CBL"
"20806","SRP54","SRP54"
"20808","CBL","GRB2"
"20809","IL8","IL8"
"20810","CCL3","CCL3"
"20811","CFI","C3"
"20813","ITK","PPIA"
"20814","PPIA","ITK"
"20815","ITK","PPIA"
"20820","SOX9","MAF"
"20821","SOX9","MAF"
"20822","MAF","SOX9"
"20823","MAF","SOX9"
"20824","SOX9","MAF"
"20825","KCNB1","KCNB1"
"20826","KCNB1","KCNG3"
"20827","KCNB1","KCNH1"
"20828","KCNB1","KCNV2"
"20829","KCNC1","KCNG3"
"20830","KCNC1","KCNH1"
"20831","KCNC1","KCNV2"
"20832","KCNF1","KCNG3"
"20833","KCNF1","KCNH1"
"20834","KCNF1","KCNV2"
"20839","LIN7A","APBA1"
"20843","PSMC5","SP1"
"20844","PSMC5","SP1"
"20849","SIN3A","MXD1"
"20850","MAPK1","RAF1"
"20851","MAPK1","INSR"
"20852","MAPK3","RAF1"
"20853","MAPK3","INSR"
"20854","SLA","EPHA2"
"20855","SLA","EPHA2"
"20856","SLA","EPHA2"
"20857","FIGF","KDR"
"20861","EIF3G","EIF5"
"20862","LIG3","XRCC1"
"20863","MAPK1","PRKCE"
"20864","RAF1","PRKCE"
"20865","ITGB4","ERBB2IP"
"20867","ERBB2IP","ITGB4"
"20870","TLR4","MYD88"
"20872","KCNB1","KCNG3"
"20873","KCNB1","KCNH1"
"20874","KCNB1","KCNV2"
"20876","SREBF1","NR0B1"
"20877","SREBF1","NR0B1"
"20884","IL1A","IL1A"
"20890","LGALS1","GEMIN4"
"20891","GEMIN4","LGALS1"
"20892","GEMIN4","LGALS3"
"20893","LGALS1","LGALS3"
"20894","LGALS1","SMN1"
"20895","LGALS1","SNRPB"
"20896","LGALS1","GEMIN2"
"20905","MLH3","MLH1"
"20906","PMS2","MLH1"
"20907","PMS1","MLH1"
"20908","MLH1","PMS2"
"20909","PMS2","MLH1"
"20910","MLH1","PMS2"
"20912","GRIN3B","GRIN2A"
"20916","MYOD1","Twist1"
"20917","TRAF2","CAV1"
"20918","CAV1","TRADD"
"20919","TNFRSF1B","CAV1"
"20921","EPHA2","GRB2"
"20922","GRB2","EPHA2"
"20926","NR3C1","DAP3"
"20927","DAP3","NR3C1"
"20928","DAP3","NR3C1"
"20929","FES","STAT3"
"20930","STAT1","STAT3"
"20931","JAK1","STAT3"
"20932","DAP3","PPARA"
"20933","DAP3","HSP90AA1"
"20934","DAP3","HIF1A"
"20935","DAP3","AHR"
"20937","DAP3","ESR2"
"20938","DAP3","PGR"
"20939","DAP3","THRA"
"20941","HSP90AA1","DAP3"
"20942","HSP90AA1","NR3C1"
"20943","DAP3","DAP3"
"20944","FN1","TGFBI"
"20946","EZR","PTK2"
"20953","RAD51","RAD51"
"20955","DLGAP1","DYNLL2"
"20956","DLGAP1","DYNLL1"
"20957","DYNLL2","DLGAP1"
"20958","DYNLL2","MYO5A"
"20959","DLGAP1","DYNLL2"
"20960","DLGAP1","DYNLL2"
"20961","DYNLL2","DLGAP1"
"20962","DLGAP1","MYO5A"
"20963","DLGAP1","DYNLL1"
"20964","DYNLL1","DLGAP1"
"20965","DYNLL2","DLGAP1"
"20966","DYNLL2","MYO5A"
"20967","DYNLL1","MYO5A"
"20968","DYNLL2","DLG4"
"20969","DYNLL1","DLG4"
"20970","MYO5A","DYNLL1"
"20971","MYO5A","DYNLL2"
"20972","DLGAP1","DLG2"
"20973","DLGAP1","SHANK2"
"20974","DLGAP1","DLG4"
"20975","DLGAP1","DYNLL1"
"20976","DYNLL1","MYO5A"
"20977","DYNLL1","DLGAP1"
"20978","DYNLL1","DLG4"
"20979","DYNLL1","DLG2"
"20980","DYNLL2","MYO5A"
"20981","DYNLL2","DLG4"
"20982","DYNLL2","DLG2"
"20983","SHANK2","DLG4"
"20984","SHANK2","DYNLL2"
"20985","SHANK2","DYNLL1"
"20986","SHANK2","DLGAP1"
"20987","SHANK2","MYO5A"
"20992","GRID2","PTPN4"
"20993","PTPN4","GRID2"
"20994","PTPN4","GRIN2A"
"21005","ARF3","ARFIP1"
"21006","ARF3","ARFIP2"
"21007","ARF1","ARFIP1"
"21008","ARF1","ARFIP2"
"21009","ARF5","ARFIP2"
"21010","ARF5","ARFIP1"
"21014","ITGB2","ITGAL"
"21015","SMAD2","DAB2"
"21016","SMAD3","DAB2"
"21017","SMAD2","DAB2"
"21018","SMAD3","DAB2"
"21020","DAB2","TGFBR2"
"21021","CD5","CD27"
"21024","NR0B2","RXRA"
"21031","CCR10","CCL25"
"21033","CCR10","CXCL13"
"21034","SGPP1","S1PR5"
"21039","AKAP8","PRKAR2A"
"21040","PRKAR2A","AKAP8"
"21041","SNCA","SNCAIP"
"21042","SNCA","BAX"
"21043","SNCA","BAD"
"21045","PDPK1","SLC9A3R2"
